id_waktu,id_lokasi,date,jumlah_produksi,id_unit_peternakan
8645,47415,2022-11-07,13.889999999999999,
8571,47400,2022-08-28,13.95,
9040,47415,2023-11-24,14.31,
8876,46315,2023-06-18,13.423333333333332,
8473,47400,2022-05-25,14.55,
8758,47415,2023-02-24,14.855,
8681,47400,2022-12-12,15.549999999999999,
9057,47415,2023-12-10,15.274999999999999,
8643,47415,2022-11-05,15.2,
8935,46315,2023-08-14,14.5,
8648,46315,2022-11-10,15.555,
8461,47400,2022-05-13,14.15,
8747,46315,2023-02-13,15.05,
9256,47415,2024-06-19,15.75,
8664,47415,2022-11-26,15.45,
9271,46315,2024-07-03,16.485,
8570,47400,2022-08-27,13.85,
9254,46315,2024-06-17,16.0,
9302,47415,2024-08-02,13.9,
8562,47400,2022-08-19,12.25,
9203,46315,2024-04-29,14.2,
9310,47415,2024-08-10,13.55,
8733,47415,2023-01-31,14.96,
8551,47415,2022-08-08,13.35,
8499,47400,2022-06-19,10.05,
9113,46315,2024-02-01,19.645,
9033,46315,2023-11-17,15.45,
9220,47415,2024-05-15,15.1,
9161,46315,2024-03-19,16.865000000000002,
8786,47415,2023-03-23,18.7,
9043,46315,2023-11-27,13.08,
8599,46315,2022-09-24,17.115000000000002,
8884,47415,2023-06-26,13.596666666666666,
8849,46315,2023-05-23,12.105,
8505,47400,2022-06-25,10.0,
9001,47810,2023-10-17,18.125,
9019,47415,2023-11-03,15.780000000000001,
9253,46315,2024-06-16,15.25,
8765,47810,2023-03-02,13.873333333333335,
9066,47415,2023-12-19,13.899999999999999,
9243,47415,2024-06-06,15.825,
9328,46315,2024-08-28,15.625,
8692,47415,2022-12-23,15.075,
8453,47400,2022-05-05,12.4,
8650,47415,2022-11-12,15.525,
8910,47588,2023-07-21,13.555,
8995,47415,2023-10-11,14.715,
9040,46315,2023-11-24,14.31,
8452,47415,2022-05-04,11.2,
8660,46315,2022-11-22,16.1,
8686,47415,2022-12-17,15.344999999999999,
8982,47810,2023-09-29,20.463333333333335,
8723,47415,2023-01-21,9.575,
8723,47400,2023-01-21,9.575,
8668,47415,2022-11-30,13.285,
8813,47415,2023-04-18,15.225,
9131,46315,2024-02-19,18.5,
8724,46315,2023-01-22,14.89,
8779,47400,2023-03-16,20.146666666666665,
9069,47415,2023-12-22,14.84,
9250,47415,2024-06-13,15.525,
8996,47415,2023-10-12,14.315000000000001,
8743,46315,2023-02-09,15.549999999999999,
8917,47588,2023-07-28,12.18,
9208,46315,2024-05-03,16.45,
8922,47588,2023-08-01,16.018333333333334,
8982,47588,2023-09-29,20.463333333333335,
9007,47415,2023-10-23,13.774999999999999,
8954,47810,2023-09-01,16.233333333333334,
9320,47415,2024-08-20,14.6,
8797,46315,2023-04-02,16.965,
8694,47400,2022-12-25,15.25,
8965,46315,2023-09-12,19.265,
8807,46315,2023-04-12,14.965,
9103,46315,2024-01-23,22.53,
9113,47415,2024-02-01,19.645,
8928,47415,2023-08-07,14.95,
8647,47400,2022-11-09,15.55,
8494,47415,2022-06-14,8.75,
8768,46315,2023-03-05,22.53333333333333,
9211,47415,2024-05-06,16.925,
9123,46315,2024-02-11,18.74,
8709,47400,2023-01-07,13.265,
8528,47400,2022-07-17,12.9,
8943,47588,2023-08-22,18.643333333333334,
8981,46315,2023-09-28,14.575,
8977,46315,2023-09-24,15.3,
